region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,country,date,countryName
North Dakota,-0.44,-0.13,0.73,-0.36,-0.24,0.09,US,2020-03-29,US
Ohio,-0.43,-0.19,1.17,-0.33,-0.35,0.1,US,2020-03-29,US
Oklahoma,-0.36,-0.12,0.29,-0.23,-0.32,0.09,US,2020-03-29,US
Oregon,-0.51,-0.25,-0.22,-0.47,-0.38,0.12,US,2020-03-29,US
Pennsylvania,-0.5,-0.27,0.07,-0.52,-0.38,0.12,US,2020-03-29,US
Rhode Island,-0.55,-0.3,-0.5,-0.67,-0.37,0.14,US,2020-03-29,US
South Carolina,-0.38,-0.11,-0.04,-0.34,-0.34,0.09,US,2020-03-29,US
South Dakota,-0.35,-0.03,1.26,-0.31,-0.25,0.08,US,2020-03-29,US
Tennessee,-0.35,-0.09,0.35,-0.35,-0.34,0.08,US,2020-03-29,US
Texas,-0.45,-0.23,-0.27,-0.47,-0.36,0.13,US,2020-03-29,US
Utah,-0.41,-0.14,0.26,-0.44,-0.4,0.1,US,2020-03-29,US
Vermont,-0.62,-0.42,-0.55,-0.71,-0.43,0.13,US,2020-03-29,US
Virginia,-0.39,-0.16,0.46,-0.5,-0.36,0.11,US,2020-03-29,US
Washington,-0.48,-0.26,-0.11,-0.56,-0.41,0.13,US,2020-03-29,US
West Virginia,-0.38,-0.16,0.52,-0.31,-0.33,0.08,US,2020-03-29,US
Wisconsin,-0.55,-0.3,-0.12,-0.5,-0.34,0.13,US,2020-03-29,US
Wyoming,-0.37,-0.13,0.29,-0.14,-0.29,0.08,US,2020-03-29,US
Aberdeen City,-0.86,-0.41,-0.46,-0.73,-0.58,0.3,GB,2020-03-29,United Kingdom
Aberdeenshire,-0.8,-0.46,-0.45,-0.58,-0.52,0.27,GB,2020-03-29,United Kingdom
Angus council,-0.8,-0.44,-0.28,-0.51,-0.48,0.2,GB,2020-03-29,United Kingdom
Antrim And Newtownabbey,-0.81,-0.46,-0.61,-0.89,-0.52,0.29,GB,2020-03-29,United Kingdom
Ards And North Down,-0.78,-0.39,-0.57,-0.57,-0.56,0.28,GB,2020-03-29,United Kingdom
Argyll and Bute Council,-0.88,-0.45,-0.34,-0.57,-0.52,0.08,GB,2020-03-29,United Kingdom
Armagh City and Banbridge And Craigavon,-0.82,-0.45,-0.66,-0.65,-0.47,0.27,GB,2020-03-29,United Kingdom
Bath and North East Somerset,-0.91,-0.48,-0.54,-0.75,-0.66,0.3,GB,2020-03-29,United Kingdom
Bedford,-0.86,-0.47,-0.51,-0.72,-0.49,0.28,GB,2020-03-29,United Kingdom
Belfast,-0.85,-0.42,-0.47,-0.76,-0.59,0.17,GB,2020-03-29,United Kingdom
Blackburn with Darwen,-0.85,-0.42,,-0.5,0.25,,GB,2020-03-29,United Kingdom
Blackpool,-0.88,-0.43,-0.64,-0.65,-0.54,0.22,GB,2020-03-29,United Kingdom
Blaenau Gwent,-0.75,-0.46,,-0.46,0.12,,GB,2020-03-29,United Kingdom
Borough of Halton,-0.78,-0.43,-0.46,-0.6,-0.48,0.25,GB,2020-03-29,United Kingdom
Bracknell Forest,-0.83,-0.41,-0.56,-0.69,-0.58,0.31,GB,2020-03-29,United Kingdom
Bridgend County Borough,-0.85,-0.43,-0.48,-0.59,-0.5,0.25,GB,2020-03-29,United Kingdom
Brighton and Hove,-0.89,-0.48,-0.59,-0.77,-0.64,0.3,GB,2020-03-29,United Kingdom
Buckinghamshire,-0.85,-0.45,-0.43,-0.74,-0.57,0.16,GB,2020-03-29,United Kingdom
Caerphilly County Borough,-0.78,-0.41,-0.52,-0.54,-0.47,0.25,GB,2020-03-29,United Kingdom
Cambridgeshire,-0.87,-0.48,-0.51,-0.79,-0.54,0.16,GB,2020-03-29,United Kingdom
Cardiff,-0.86,-0.45,-0.48,-0.79,-0.59,0.17,GB,2020-03-29,United Kingdom
Carmarthenshire,-0.81,-0.46,-0.57,-0.6,-0.49,0.24,GB,2020-03-29,United Kingdom
Causeway Coast and Glens,-0.87,-0.41,-0.66,-0.64,-0.55,0.26,GB,2020-03-29,United Kingdom
Central Bedfordshire,-0.82,-0.45,-0.41,-0.74,-0.54,0.2,GB,2020-03-29,United Kingdom
Ceredigion,-0.84,-0.54,-0.6,-0.69,-0.57,0.06,GB,2020-03-29,United Kingdom
Cheshire East,-0.84,-0.47,-0.63,-0.75,-0.53,0.15,GB,2020-03-29,United Kingdom
Cheshire West and Chester,-0.88,-0.47,-0.58,-0.77,-0.55,0.15,GB,2020-03-29,United Kingdom
City of Bristol,-0.87,-0.47,-0.25,-0.81,-0.57,0.18,GB,2020-03-29,United Kingdom
Clackmannanshire,-0.89,-0.39,,-0.49,0.06,,GB,2020-03-29,United Kingdom
Conwy Principal Area,-0.86,-0.48,-0.7,-0.63,-0.58,0.22,GB,2020-03-29,United Kingdom
Cornwall,-0.85,-0.53,-0.54,-0.66,-0.56,0.14,GB,2020-03-29,United Kingdom
County Durham,-0.83,-0.42,-0.56,-0.68,-0.55,0.14,GB,2020-03-29,United Kingdom
Cumbria,-0.84,-0.5,-0.54,-0.73,-0.58,0.15,GB,2020-03-29,United Kingdom
Darlington,-0.86,-0.47,-0.57,-0.75,-0.51,0.26,GB,2020-03-29,United Kingdom
Denbighshire,-0.84,-0.43,-0.59,-0.7,-0.52,0.14,GB,2020-03-29,United Kingdom
Derby,-0.85,-0.46,-0.55,-0.81,-0.55,0.19,GB,2020-03-29,United Kingdom
Derbyshire,-0.86,-0.43,-0.55,-0.66,-0.55,0.15,GB,2020-03-29,United Kingdom
Derry And Strabane,-0.8,-0.39,-0.63,-0.6,-0.54,0.25,GB,2020-03-29,United Kingdom
Devon,-0.87,-0.51,-0.54,-0.73,-0.54,0.15,GB,2020-03-29,United Kingdom
Dorset,-0.87,-0.47,-0.57,-0.7,-0.57,0.15,GB,2020-03-29,United Kingdom
Dumfries and Galloway,-0.8,-0.42,-0.48,-0.75,-0.49,0.22,GB,2020-03-29,United Kingdom
Dundee City Council,-0.83,-0.52,-0.1,-0.71,-0.56,0.26,GB,2020-03-29,United Kingdom
East Ayrshire Council,-0.83,-0.39,,-0.51,0.26,,GB,2020-03-29,United Kingdom
East Dunbartonshire Council,-0.75,-0.35,,-0.56,0.19,,GB,2020-03-29,United Kingdom
East Lothian Council,-0.81,-0.37,-0.34,-0.57,-0.56,0.17,GB,2020-03-29,United Kingdom
East Renfrewshire Council,-0.63,-0.29,-0.54,-0.51,-0.56,0.19,GB,2020-03-29,United Kingdom
East Riding of Yorkshire,-0.85,-0.45,-0.61,-0.51,-0.52,0.14,GB,2020-03-29,United Kingdom
East Sussex,-0.87,-0.46,-0.6,-0.68,-0.57,0.14,GB,2020-03-29,United Kingdom
Edinburgh,-0.86,-0.44,-0.42,-0.83,-0.67,0.18,GB,2020-03-29,United Kingdom
Essex,-0.84,-0.49,-0.58,-0.85,-0.56,0.16,GB,2020-03-29,United Kingdom
Falkirk,-0.78,-0.38,-0.26,-0.56,-0.47,0.27,GB,2020-03-29,United Kingdom
Fermanagh And Omagh,-0.86,-0.47,-0.55,-0.54,-0.52,0.27,GB,2020-03-29,United Kingdom
Fife,-0.79,-0.38,-0.32,-0.56,-0.51,0.14,GB,2020-03-29,United Kingdom
Flintshire,-0.8,-0.44,-0.48,-0.6,-0.54,0.26,GB,2020-03-29,United Kingdom
Glasgow City,-0.84,-0.44,-0.37,-0.81,-0.6,0.16,GB,2020-03-29,United Kingdom
Gloucestershire,-0.86,-0.48,-0.49,-0.73,-0.55,0.15,GB,2020-03-29,United Kingdom
Greater London,-0.87,-0.48,-0.59,-0.8,-0.62,0.19,GB,2020-03-29,United Kingdom
Greater Manchester,-0.84,-0.46,-0.44,-0.8,-0.54,0.16,GB,2020-03-29,United Kingdom
Gwynedd,-0.87,-0.55,-0.62,-0.65,-0.56,0.18,GB,2020-03-29,United Kingdom
Hampshire,-0.85,-0.45,-0.48,-0.74,-0.54,0.15,GB,2020-03-29,United Kingdom
Hartlepool,-0.86,-0.44,-0.64,-0.7,-0.51,0.19,GB,2020-03-29,United Kingdom
Herefordshire,-0.86,-0.5,-0.42,-0.64,-0.46,0.24,GB,2020-03-29,United Kingdom
Hertfordshire,-0.85,-0.47,-0.46,-0.73,-0.56,0.16,GB,2020-03-29,United Kingdom
Highland Council,-0.83,-0.47,-0.48,-0.7,-0.53,0.24,GB,2020-03-29,United Kingdom
Inverclyde,-0.83,-0.37,,-0.52,0.15,,GB,2020-03-29,United Kingdom
Isle of Anglesey,-0.84,-0.48,-0.65,-0.63,-0.46,0.07,GB,2020-03-29,United Kingdom
Isle of Wight,-0.88,-0.47,-0.57,-0.76,-0.54,0.22,GB,2020-03-29,United Kingdom
Kent,-0.86,-0.49,-0.62,-0.68,-0.53,0.15,GB,2020-03-29,United Kingdom
Kingston upon Hull,-0.82,-0.45,-0.49,-0.71,-0.51,0.14,GB,2020-03-29,United Kingdom
Lancashire,-0.84,-0.44,-0.39,-0.71,-0.52,0.14,GB,2020-03-29,United Kingdom
Leicester,-0.84,-0.47,-0.45,-0.8,-0.51,0.15,GB,2020-03-29,United Kingdom
Leicestershire,-0.83,-0.45,-0.54,-0.72,-0.55,0.15,GB,2020-03-29,United Kingdom
Lincolnshire,-0.84,-0.45,-0.63,-0.67,-0.47,0.13,GB,2020-03-29,United Kingdom
Lisburn and Castlereagh,-0.87,-0.45,-0.79,-0.61,-0.56,0.3,GB,2020-03-29,United Kingdom
Luton,-0.79,-0.39,-0.41,-0.9,-0.49,0.19,GB,2020-03-29,United Kingdom
Medway,-0.85,-0.4,-0.67,-0.71,-0.51,0.15,GB,2020-03-29,United Kingdom
Merseyside,-0.83,-0.42,-0.53,-0.74,-0.54,0.15,GB,2020-03-29,United Kingdom
Merthyr Tydfil County Borough,-0.89,-0.5,,-0.52,0.08,,GB,2020-03-29,United Kingdom
Mid And East Antrim,-0.81,-0.37,-0.52,-0.56,-0.56,0.27,GB,2020-03-29,United Kingdom
Mid Ulster,-0.81,-0.43,,-0.42,0.28,,GB,2020-03-29,United Kingdom
Middlesbrough,-0.84,-0.43,-0.63,-0.73,-0.51,0.24,GB,2020-03-29,United Kingdom
Midlothian,-0.9,-0.43,-0.2,-0.5,-0.53,0.25,GB,2020-03-29,United Kingdom
Milton Keynes,-0.85,-0.49,-0.53,-0.79,-0.55,0.19,GB,2020-03-29,United Kingdom
Monmouthshire,-0.85,-0.56,-0.61,-0.58,-0.47,0.16,GB,2020-03-29,United Kingdom
Moray,-0.88,-0.45,-0.42,-0.63,-0.54,0.12,GB,2020-03-29,United Kingdom
Na h-Eileanan an Iar,-0.77,-0.31,,-0.51,,,GB,2020-03-29,United Kingdom
Neath Port Talbot Principle Area,-0.74,-0.38,-0.46,-0.6,-0.46,0.23,GB,2020-03-29,United Kingdom
Newport,-0.83,-0.47,-0.49,-0.66,-0.52,0.26,GB,2020-03-29,United Kingdom
Newry and Mourne And Down,-0.87,-0.45,-0.65,-0.55,-0.52,0.29,GB,2020-03-29,United Kingdom
Norfolk,-0.87,-0.52,-0.69,-0.68,-0.53,0.14,GB,2020-03-29,United Kingdom
North Ayrshire Council,-0.79,-0.37,-0.12,-0.59,-0.51,0.25,GB,2020-03-29,United Kingdom
North East Lincolnshire,-0.85,-0.46,-0.72,-0.68,-0.46,0.22,GB,2020-03-29,United Kingdom
North Lanarkshire,-0.78,-0.37,,-0.5,0.13,,GB,2020-03-29,United Kingdom
North Lincolnshire,-0.79,-0.41,-0.56,-0.58,-0.46,0.23,GB,2020-03-29,United Kingdom
North Somerset,-0.84,-0.5,-0.52,-0.88,-0.54,0.27,GB,2020-03-29,United Kingdom
North Yorkshire,-0.88,-0.48,-0.65,-0.74,-0.55,0.15,GB,2020-03-29,United Kingdom
Northamptonshire,-0.84,-0.42,-0.59,-0.71,-0.47,0.14,GB,2020-03-29,United Kingdom
Northumberland,-0.84,-0.42,-0.66,-0.61,-0.54,0.14,GB,2020-03-29,United Kingdom
Nottinghamshire,-0.9,-0.45,-0.58,-0.8,-0.56,0.15,GB,2020-03-29,United Kingdom
Orkney,-0.85,-0.4,,,,,GB,2020-03-29,United Kingdom
Oxfordshire,-0.87,-0.45,-0.48,-0.79,-0.58,0.17,GB,2020-03-29,United Kingdom
Pembrokeshire,-0.87,-0.49,-0.62,-0.61,-0.47,0.18,GB,2020-03-29,United Kingdom
Perth and Kinross,-0.86,-0.46,-0.39,-0.65,-0.54,0.27,GB,2020-03-29,United Kingdom
Peterborough,-0.8,-0.45,-0.36,-0.77,-0.43,0.17,GB,2020-03-29,United Kingdom
Plymouth,-0.87,-0.5,-0.43,-0.7,-0.54,0.18,GB,2020-03-29,United Kingdom
Portsmouth,-0.88,-0.43,-0.46,-0.71,-0.54,0.19,GB,2020-03-29,United Kingdom
Powys,-0.88,-0.5,-0.56,-0.63,-0.51,0.23,GB,2020-03-29,United Kingdom
Reading,-0.89,-0.5,-0.41,-0.84,-0.55,0.32,GB,2020-03-29,United Kingdom
Redcar and Cleveland,-0.88,-0.44,-0.63,-0.62,-0.5,0.23,GB,2020-03-29,United Kingdom
Renfrewshire,-0.86,-0.39,0.14,-0.84,-0.58,0.29,GB,2020-03-29,United Kingdom
Rhondda Cynon Taff,-0.8,-0.41,-0.47,-0.52,-0.5,0.19,GB,2020-03-29,United Kingdom
Rutland,-1.0,-0.37,-0.7,,,,GB,2020-03-29,United Kingdom
Scottish Borders,-0.88,-0.46,-0.39,-0.44,-0.51,0.2,GB,2020-03-29,United Kingdom
Shetland Islands,-0.85,-0.49,,-0.6,,,GB,2020-03-29,United Kingdom
Shropshire,-0.85,-0.49,-0.56,-0.7,-0.5,0.14,GB,2020-03-29,United Kingdom
Slough,-0.8,-0.45,-0.45,-0.78,-0.54,0.29,GB,2020-03-29,United Kingdom
Somerset,-0.86,-0.48,-0.56,-0.73,-0.49,0.14,GB,2020-03-29,United Kingdom
South Ayrshire Council,-0.88,-0.42,-0.35,-0.62,-0.56,0.2,GB,2020-03-29,United Kingdom
South Gloucestershire,-0.81,-0.45,-0.3,-0.64,-0.52,0.2,GB,2020-03-29,United Kingdom
South Lanarkshire,-0.78,-0.38,-0.06,-0.57,-0.54,0.14,GB,2020-03-29,United Kingdom
South Yorkshire,-0.86,-0.43,-0.47,-0.71,-0.53,0.15,GB,2020-03-29,United Kingdom
Southampton,-0.87,-0.41,-0.57,-0.71,-0.54,0.19,GB,2020-03-29,United Kingdom
Southend-on-Sea,-0.89,-0.39,-0.63,-0.79,-0.57,0.28,GB,2020-03-29,United Kingdom
Staffordshire,-0.85,-0.44,-0.54,-0.73,-0.54,0.14,GB,2020-03-29,United Kingdom
Stirling,-0.85,-0.49,-0.49,-0.76,-0.62,0.11,GB,2020-03-29,United Kingdom
Stockton-on-Tees,-0.84,-0.47,-0.6,-0.69,-0.52,0.25,GB,2020-03-29,United Kingdom
Stoke-on-Trent,-0.84,-0.44,-0.41,-0.7,-0.49,0.14,GB,2020-03-29,United Kingdom
Suffolk,-0.87,-0.51,-0.67,-0.69,-0.54,0.15,GB,2020-03-29,United Kingdom
Surrey,-0.85,-0.44,-0.57,-0.74,-0.59,0.17,GB,2020-03-29,United Kingdom
Swansea,-0.84,-0.5,-0.51,-0.67,-0.54,0.19,GB,2020-03-29,United Kingdom
Swindon,-0.83,-0.44,-0.3,-0.69,-0.52,0.28,GB,2020-03-29,United Kingdom
Thurrock,-0.88,-0.53,-0.51,-0.59,-0.5,0.29,GB,2020-03-29,United Kingdom
Torbay,-0.86,-0.44,-0.58,-0.68,-0.55,0.24,GB,2020-03-29,United Kingdom
Torfaen Principal Area,-0.82,-0.37,,-0.53,0.24,,GB,2020-03-29,United Kingdom
Tyne and Wear,-0.85,-0.47,-0.58,-0.74,-0.57,0.15,GB,2020-03-29,United Kingdom
Vale of Glamorgan,-0.84,-0.49,-0.59,-0.7,-0.54,0.27,GB,2020-03-29,United Kingdom
Warrington,-0.86,-0.42,-0.29,-0.68,-0.52,0.27,GB,2020-03-29,United Kingdom
Warwickshire,-0.86,-0.44,-0.56,-0.72,-0.54,0.15,GB,2020-03-29,United Kingdom
West Berkshire,-0.88,-0.49,-0.41,-0.82,-0.58,0.29,GB,2020-03-29,United Kingdom
West Dunbartonshire Council,-0.75,-0.43,,-0.51,0.23,,GB,2020-03-29,United Kingdom
West Lothian,-0.74,-0.29,-0.29,-0.52,-0.5,0.27,GB,2020-03-29,United Kingdom
West Midlands,-0.84,-0.45,-0.45,-0.78,-0.57,0.15,GB,2020-03-29,United Kingdom
West Sussex,-0.85,-0.46,-0.53,-0.85,-0.56,0.15,GB,2020-03-29,United Kingdom
West Yorkshire,-0.84,-0.44,-0.49,-0.74,-0.55,0.15,GB,2020-03-29,United Kingdom
Wiltshire,-0.84,-0.45,-0.56,-0.7,-0.54,0.15,GB,2020-03-29,United Kingdom
Windsor and Maidenhead,-0.88,-0.42,-0.74,-0.79,-0.63,0.31,GB,2020-03-29,United Kingdom
Wokingham,-0.81,-0.52,-0.26,-0.66,-0.61,0.32,GB,2020-03-29,United Kingdom
Worcestershire,-0.86,-0.47,-0.44,-0.71,-0.55,0.14,GB,2020-03-29,United Kingdom
Wrexham Principal Area,-0.83,-0.43,-0.45,-0.64,-0.48,0.24,GB,2020-03-29,United Kingdom
York,-0.9,-0.5,-0.64,-0.84,-0.65,0.29,GB,2020-03-29,United Kingdom
Artigas Department,-0.6,-0.45,-0.71,-0.77,-0.24,-0.03,UY,2020-03-29,Uruguay
Canelones Department,-0.74,-0.49,-0.77,-0.75,-0.31,0.2,UY,2020-03-29,Uruguay
Cerro Largo Department,-0.74,-0.43,-0.76,-0.73,-0.28,0.13,UY,2020-03-29,Uruguay
Colonia Department,-0.78,-0.51,-0.84,-0.9,-0.38,0.21,UY,2020-03-29,Uruguay
Durazno Department,-0.68,-0.39,-0.68,-0.79,-0.21,-0.02,UY,2020-03-29,Uruguay
Flores Department,-0.83,-0.38,-0.72,,,,UY,2020-03-29,Uruguay
Florida Department,-0.63,-0.37,-0.78,-0.7,-0.23,0.13,UY,2020-03-29,Uruguay
Lavalleja Department,-0.53,-0.35,-0.76,-0.69,-0.22,-0.02,UY,2020-03-29,Uruguay
Maldonado Department,-0.87,-0.65,-0.88,-0.86,-0.56,0.24,UY,2020-03-29,Uruguay
Montevideo Department,-0.73,-0.37,-0.72,-0.58,-0.37,0.23,UY,2020-03-29,Uruguay
Paysandú Department,-0.68,-0.22,-0.75,-0.78,-0.23,0.18,UY,2020-03-29,Uruguay
Rivera Department,-0.71,-0.33,-0.76,-0.67,-0.33,0.12,UY,2020-03-29,Uruguay
Rocha Department,-0.89,-0.75,-0.89,-0.9,-0.41,0.09,UY,2020-03-29,Uruguay
Río Negro Department,-0.72,-0.49,-0.82,-0.64,-0.27,-0.03,UY,2020-03-29,Uruguay
Salto Department,-0.71,-0.49,-0.74,-0.68,-0.3,0.17,UY,2020-03-29,Uruguay
San José Department,-0.6,-0.4,-0.78,-0.61,-0.23,0.19,UY,2020-03-29,Uruguay
Soriano Department,-0.67,-0.52,-0.78,,0.13,,UY,2020-03-29,Uruguay
Tacuarembó Department,-0.67,-0.43,-0.77,-0.76,-0.25,0.15,UY,2020-03-29,Uruguay
Treinta y Tres Department,-0.6,-0.24,-0.75,-0.55,-0.2,,UY,2020-03-29,Uruguay
